split_seed,train_seed,task,shots,support_resample,episode_hash,primary_oracle,top1_expert,top2_expert,top1_top2_accuracy_margin,exact_accuracy_tie,epsilon_accuracy,epsilon_optimal_size,epsilon_optimal_experts
6,4,breastmnist,16,7,4d9aeb10ed7693b57f46d54ac529d8b7384a85fae0727ffb95c9ec97b883ec6c,source_pneumoniamnist,source_pneumoniamnist,shared,0.02499997615814209,False,0.01,1,source_pneumoniamnist
6,4,breastmnist,16,8,571353817cadf8a7e07eda8594fbb4fa674cb127a8dec69aa8963d7dca54f6eb,source_organmnist,source_organmnist,source_bloodmnist,0.025000035762786865,False,0.01,1,source_organmnist
6,4,breastmnist,16,9,6253fd5e1fe774174eab063f59aab4682b56b3446c98041d0f04487fcea6108f,source_organmnist,source_organmnist,source_pathmnist,0.0,True,0.01,2,source_organmnist|source_pathmnist
6,4,octmnist,1,0,f8b05e93c3b9ea01fb4b03c103ee7670679ac2c3929bed48b806caa7a87bc182,source_bloodmnist,source_bloodmnist,source_pneumoniamnist,0.012500017881393433,False,0.01,1,source_bloodmnist
6,4,octmnist,1,1,71772dc7de558e34eb43fdb7749499f84c7ba90584a3cc6e4bee665d63c86148,source_tissuemnist,source_tissuemnist,source_pathmnist,0.050000011920928955,False,0.01,1,source_tissuemnist
6,4,octmnist,1,2,1b01fe0d9fb5c7c6b7f8cc806676ee85b4c38293e3ba0b75f7c1bea05ef50b1a,source_tissuemnist,source_tissuemnist,shared,0.012499988079071045,False,0.01,1,source_tissuemnist
6,4,octmnist,1,3,8996bbea0c7c751c834439b608e3008efaf7699e1c4d3c51c7cde5e215bd143c,source_tissuemnist,source_tissuemnist,source_bloodmnist,0.0,True,0.01,3,source_bloodmnist|source_organmnist|source_tissuemnist
6,4,octmnist,1,4,8bf9e9933e2d452fbe5541fd366fe683dd792e4e844894ccedf90f7bfdb1ae66,source_organmnist,source_organmnist,shared,0.03749999403953552,False,0.01,1,source_organmnist
6,4,octmnist,1,5,bcfe3081c74b15eabae1bdc4ac2619693bf57896fb0c572100f14a78e35db453,source_tissuemnist,source_tissuemnist,source_pneumoniamnist,0.09999999403953552,False,0.01,1,source_tissuemnist
6,4,octmnist,1,6,78153d6dd7edbb827fb5e7e325925858503ce71b1e40cb37684ab3c5d91fb585,source_bloodmnist,source_bloodmnist,source_pathmnist,0.0,True,0.01,3,source_bloodmnist|source_organmnist|source_pathmnist
6,4,octmnist,1,7,39f327cd253d533961270fe63c13cd2d18951eee543c9a6ae5ff9a7e09c45854,source_pneumoniamnist,source_pneumoniamnist,source_tissuemnist,0.0,True,0.01,2,source_pneumoniamnist|source_tissuemnist
6,4,octmnist,1,8,95696f8eed8c286b657ca57859194d2559471bcfd19f1117a4388d0f372aedda,source_tissuemnist,source_tissuemnist,source_organmnist,0.025000005960464478,False,0.01,1,source_tissuemnist
6,4,octmnist,1,9,eda3e87bc359b0998a1f2ecf98dfe656631654d4ac5a663cd1604e8f9dd718e9,source_tissuemnist,source_tissuemnist,source_pneumoniamnist,0.050000011920928955,False,0.01,1,source_tissuemnist
6,4,octmnist,5,0,d6b61a0633ea2c64a35c7d4f056cf7ceac2eceea70ecadc272010c1f6e632b96,source_bloodmnist,source_bloodmnist,source_tissuemnist,0.012500017881393433,False,0.01,1,source_bloodmnist
6,4,octmnist,5,1,4f61941006cc7591b8e78c87ebd948d2b05f11987d4f8980785753e08cc75fe4,source_bloodmnist,source_bloodmnist,source_pneumoniamnist,0.03750002384185791,False,0.01,1,source_bloodmnist
6,4,octmnist,5,2,bd90db2bcbd3acf093992f890019b0b70c7bd060cccd6689c1d5101b67a6a904,source_bloodmnist,source_bloodmnist,source_pneumoniamnist,0.0,True,0.01,2,source_bloodmnist|source_pneumoniamnist
6,4,octmnist,5,3,561ada7a3f68ec04687999713be711e6749c3a6c27d7dd9a2ea0f02fef67ec80,source_tissuemnist,source_tissuemnist,source_pneumoniamnist,0.0,True,0.01,2,source_pneumoniamnist|source_tissuemnist
6,4,octmnist,5,4,cfa841e7aa8f174be4af9397bab4388978f7e68d862f0d79902c3963596a0d57,source_bloodmnist,source_bloodmnist,source_pathmnist,0.012500017881393433,False,0.01,1,source_bloodmnist
